# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 26 06:53:35 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
11 Com b,11 Com,2,1,,,,2.60,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000
11 Com b,11 Com,2,1,G8 III,4742.00,19.00,2.70,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000
11 UMi b,11 UMi,1,1,,,,1.70,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000
11 UMi b,11 UMi,1,1,,4213.00,29.79,2.78,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000
11 UMi b,11 UMi,1,1,K4 III,4340.00,24.08,1.80,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000
14 And b,14 And,1,1,K0 III,4813.00,11.00,2.20,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000
14 And b,14 And,1,1,,,,1.20,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000
14 Her b,14 Her,1,2,,5314.94,1.00,0.97,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,K0 V,,,1.00,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,,5280.00,1.00,0.91,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,,,,0.90,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,K0 V,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,,5338.00,0.93,0.90,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
14 Her b,14 Her,1,2,,5255.00,,0.90,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000
16 Cyg B b,16 Cyg B,3,1,G2.5 V,5760.00,,1.00,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
16 Cyg B b,16 Cyg B,3,1,,5750.00,1.13,1.08,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
16 Cyg B b,16 Cyg B,3,1,G3 V,,,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
16 Cyg B b,16 Cyg B,3,1,,5674.00,,0.99,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
16 Cyg B b,16 Cyg B,3,1,,5711.97,1.16,0.98,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
16 Cyg B b,16 Cyg B,3,1,,5747.00,1.13,1.03,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000
